Price,Date,Open,High,Low,Close
0,1985-01-02,3.999776181307556,3.999776181307556,3.8404932022094727,3.8404932022094727
1,1985-01-03,3.8493458990932576,3.928987227242813,3.8493458990932576,3.867043972015381
2,1985-01-04,3.8670415754211067,3.8935882126389725,3.85819208873143,3.884739637374878
3,1985-01-07,3.884739263687944,3.928984414316273,3.875889777849531,3.9112863540649414
4,1985-01-08,3.902437313497229,3.902437313497229,3.884739253293253,3.893587827682495
5,1985-01-09,3.89358828739911,3.946682929992676,3.8581921628119327,3.946682929992676
6,1985-01-10,3.9466823004810188,4.061720142753148,3.9466823004810188,4.044022083282471
7,1985-01-11,4.061721044932755,4.194456976158544,4.061721044932755,4.1148152351379395
8,1985-01-14,4.114815983778554,4.247552394866943,4.097117917156878,4.247552394866943
9,1985-01-15,4.247550368770435,4.256398942147561,4.203304767608643,4.203304767608643
10,1985-01-16,4.203305471267266,4.2387015935520695,4.185607410124866,4.221003532409668
11,1985-01-17,4.212155696847617,4.212155696847617,3.911287660643523,4.088269233703613
12,1985-01-18,4.088267097274367,4.088267097274367,3.9643797874450684,3.9643797874450684
13,1985-01-21,3.982080353667145,4.141363877698636,3.982080353667145,4.123665809631348
14,1985-01-22,4.167910180419782,4.229853862487819,4.167910180419782,4.212155342102051
15,1985-01-23,4.212155585494628,4.238702684037969,4.141363322712383,4.229854106903076
16,1985-01-24,4.229853018693639,4.309494749547215,4.194456440696066,4.221003532409668
17,1985-01-25,4.221002791679911,4.274096965789795,4.203304733643283,4.274096965789795
18,1985-01-28,4.274100888026757,4.451082542230115,4.265252306601008,4.397988319396973
19,1985-01-29,4.397986056736971,4.397986056736971,4.336042372920426,4.371438503265381
20,1985-01-30,4.39798543214651,4.459928651453167,4.39798543214651,4.4333815574646
21,1985-01-31,4.424534211549704,4.424534211549704,4.38028903804801,4.415685176849365
22,1985-02-01,4.415684589553671,4.415684589553671,4.362590388413284,4.406835556030273
23,1985-02-04,4.406833988216095,4.495324291967982,4.380286897090529,4.468777656555176
24,1985-02-05,4.493692182730937,4.538183553874489,4.466996626839255,4.511488914489746
25,1985-02-06,4.511492407079451,4.564882643688138,4.360219153513853,4.3869147300720215
26,1985-02-07,4.395810582884575,4.502591464273925,4.395810582884575,4.47589635848999
27,1985-02-08,4.475896066690052,4.538184642791748,4.44030259463194,4.538184642791748
28,1985-02-11,4.538184642791748,4.547083469059856,4.475896066690052,4.538184642791748
29,1985-02-12,4.538186136371729,4.582678449340986,4.493694739909933,4.573780536651611
30,1985-02-13,4.591576342933916,4.733950707266376,4.591576342933916,4.7250518798828125
31,1985-02-14,4.7250507338716305,4.733949559096878,4.66276216506958,4.66276216506958
32,1985-02-15,4.662762474545258,4.680559209669902,4.636066913604736,4.636066913604736
33,1985-02-19,4.636068674999618,4.636068674999618,4.573780536651611,4.573780536651611
34,1985-02-20,4.573780536651611,4.618271933113407,4.5559828782579395,4.573780536651611
35,1985-02-21,4.573781568613328,4.573781568613328,4.529289245605469,4.529289245605469
36,1985-02-22,4.529289245605469,4.573781568613328,4.52039041440083,4.529289245605469
37,1985-02-25,4.5292867330307995,4.547083469059856,4.475896066690052,4.538184642791748
38,1985-02-26,4.538185611971126,4.6894588170313165,4.538185611971126,4.653865337371826
39,1985-02-27,4.653866404792737,4.680561520660205,4.627171288925269,4.644968032836914
40,1985-02-28,4.644965431126137,4.671660532041302,4.636066605900889,4.66276216506958
41,1985-03-01,4.662763546663362,4.760645612355109,4.662763546663362,4.742848873138428
42,1985-03-04,4.7428490365205525,4.760645776350298,4.636068139288403,4.653865337371826
43,1985-03-05,4.653863798097858,4.671660532041302,4.520387377014984,4.66276216506958
44,1985-03-06,4.662764246082664,4.662764246082664,4.564881707454775,4.573780536651611
45,1985-03-07,4.555985925486521,4.555985925486521,4.493697745477648,4.520392417907715
46,1985-03-08,4.529289017020485,4.591578082786339,4.529289017020485,4.547085762023926
47,1985-03-11,4.54708324987816,4.564879985049365,4.529286514706954,4.555981159210205
